trade_date,vix7,vix7_mode,vix7_d1,vix7_d2,vix7_code1,vix7_code2,vix14,vix14_mode,vix14_d1,vix14_d2,vix14_code1,vix14_code2,vix30,vix30_mode,vix30_d1,vix30_d2,vix30_code1,vix30_code2,n_expiry_used,n_expiry_near,n_expiry_near_ok,dte_near,F_near,K0_near,ba_ratio,strip_min,expiry_src,warnings,vix7_span,vix14_span,vix30_span,close_0050
2020-01-16,,no_bracket,,,,,10.330108230297554,exact,14.0,14.0,202001W4,202001W4,12.317929992596511,interp,14.0,34.0,202001W4,202002,6,2,2,14.0,12064.0,12050.0,0.6349206349206349,28.0,empirical,,,0.0,20.0,24.53517625231911
2020-01-17,,no_bracket,,,,,9.894349880473005,interp,13.0,33.0,202001W4,202002,12.141652566512178,interp,13.0,33.0,202001W4,202002,6,2,2,13.0,12083.5,12050.0,0.6571428571428571,28.0,empirical,,,20.0,20.0,24.53517625231911
2020-01-20,,no_bracket,,,,,11.093955558366094,interp,10.0,30.0,202001W4,202002,12.5908622453729,exact,30.0,30.0,202002,202002,6,2,2,10.0,12121.0,12100.0,0.5146825396825396,28.0,empirical,,,20.0,0.0,24.63604028624437
2020-01-30,20.60985970888809,interp,6.0,20.0,202002W1,202002,20.980859438975617,interp,6.0,20.0,202002W1,202002,19.539850572616142,interp,20.0,48.0,202002,202003,6,3,2,6.0,11390.5,11300.0,0.5448717948717948,26.0,empirical,202001W4(d0):dte=0 < 1,14.0,14.0,28.0,23.23655181553141
2020-01-31,19.25798174809588,interp,5.0,19.0,202002W1,202002,19.28767705719732,interp,5.0,19.0,202002W1,202002,18.31745641412542,interp,19.0,47.0,202002,202003,6,2,2,5.0,11483.5,11450.0,0.5931623931623932,39.0,empirical,,14.0,14.0,28.0,22.68179962894249
2020-02-03,23.500351157911943,interp,2.0,16.0,202002W1,202002,22.002914597343462,interp,2.0,16.0,202002W1,202002,20.06359517721133,interp,16.0,44.0,202002,202003,6,2,2,2.0,11339.5,11300.0,0.5803418803418803,39.0,empirical,,14.0,14.0,28.0,22.454855552610656
2020-02-04,20.11836595561087,interp,1.0,15.0,202002W1,202002,19.64379946601092,interp,1.0,15.0,202002W1,202002,18.585005414562243,interp,15.0,43.0,202002,202003,6,2,2,1.0,11547.5,11500.0,0.5373806998939554,41.0,empirical,,14.0,14.0,28.0,22.84570368407104
2020-02-05,19.601764629282208,exact,7.0,7.0,202002W2,202002W2,19.499964961570768,exact,14.0,14.0,202002,202002,18.63506080476768,interp,14.0,42.0,202002,202003,6,3,2,7.0,11551.5,11550.0,0.7134782608695652,25.0,empirical,202002W1(d0):dte=0 < 1,0.0,0.0,28.0,22.90874370527432
2020-02-06,17.193050644088885,interp,6.0,13.0,202002W2,202002,17.941825320542343,interp,13.0,41.0,202002,202003,17.90873786211517,interp,13.0,41.0,202002,202003,6,2,2,6.0,11753.0,11750.0,0.6791304347826087,25.0,empirical,,7.0,28.0,28.0,23.27437582825338
2020-02-07,18.79227619431708,interp,5.0,12.0,202002W2,202002,19.16840975401704,interp,12.0,40.0,202002,202003,18.98532530521589,interp,12.0,40.0,202002,202003,6,3,3,5.0,11605.5,11600.0,0.6053580352680802,29.0,empirical,,7.0,28.0,28.0,22.996999734958923
2020-02-10,20.36685987192395,interp,2.0,9.0,202002W2,202002,19.70007947933942,interp,9.0,37.0,202002,202003,19.28541081901989,interp,9.0,37.0,202002,202003,6,3,3,2.0,11578.5,11550.0,0.5061308631398587,29.0,empirical,,7.0,28.0,28.0,22.94656771799629
2020-02-11,18.007530271940382,interp,1.0,8.0,202002W2,202002,17.632329003208223,interp,8.0,36.0,202002,202003,17.40996041212227,interp,8.0,36.0,202002,202003,6,3,3,1.0,11675.25,11650.0,0.5674484186478189,29.0,empirical,,7.0,28.0,28.0,23.13568778160615
2020-02-12,17.247755273795836,exact,7.0,7.0,202002,202002,16.75466012785222,interp,7.0,35.0,202002,202003,16.48564654908086,interp,7.0,35.0,202002,202003,5,3,2,7.0,11770.0,11750.0,0.5771563342318059,53.0,empirical,202002W2(d0):dte=0 < 1,0.0,28.0,28.0,23.362631857937984
2020-02-13,16.69540133088311,interp,6.0,34.0,202002,202003,16.59216607802438,interp,6.0,34.0,202002,202003,16.536843761538574,interp,6.0,34.0,202002,202003,5,2,2,6.0,11773.0,11750.0,0.5357142857142857,54.0,empirical,,28.0,28.0,28.0,23.40045587065996
2020-02-14,14.840227815248486,interp,5.0,33.0,202002,202003,15.458987681054603,interp,5.0,33.0,202002,202003,15.779074772117562,interp,5.0,33.0,202002,202003,5,2,2,5.0,11811.0,11800.0,0.4626322751322751,54.0,empirical,,28.0,28.0,28.0,23.438279883381927
2020-02-17,16.214499343302275,interp,2.0,30.0,202002,202003,16.19435001279758,interp,2.0,30.0,202002,202003,16.183593445460605,exact,30.0,30.0,202003,202003,5,2,2,2.0,11770.5,11750.0,0.4224025974025974,55.0,empirical,,28.0,28.0,0.0,23.27437582825338
2020-02-18,17.769752623282585,interp,1.0,29.0,202002,202003,17.401546325796623,interp,1.0,29.0,202002,202003,17.108981338501085,interp,29.0,57.0,202003,202004,5,2,2,1.0,11639.75,11600.0,0.4584415584415584,55.0,empirical,,28.0,28.0,28.0,22.95917572223695
2020-02-19,14.913490777189535,exact,7.0,7.0,202002W4,202002W4,15.636690500344567,interp,7.0,28.0,202002W4,202003,15.874935483939325,interp,28.0,56.0,202003,202004,5,3,2,7.0,11775.5,11750.0,0.7078571428571429,25.0,empirical,202002(d0):dte=0 < 1,0.0,21.0,28.0,23.223943811290752
2020-02-20,14.911182927975664,interp,6.0,27.0,202002W4,202003,15.508635357741309,interp,6.0,27.0,202002W4,202003,15.64749466562439,interp,27.0,55.0,202003,202004,6,2,2,6.0,11727.0,11700.0,0.6011904761904762,27.0,empirical,,21.0,21.0,28.0,23.123079777365493
2020-02-21,16.098710602293544,interp,5.0,26.0,202002W4,202003,16.68176310241392,interp,5.0,26.0,202002W4,202003,16.65544169135225,interp,26.0,54.0,202003,202004,6,2,2,5.0,11676.0,11650.0,0.5929232804232805,27.0,empirical,,21.0,21.0,28.0,23.009607739199577
2020-02-24,20.52072087140641,interp,2.0,23.0,202002W4,202003,19.727729490799938,interp,2.0,23.0,202002W4,202003,18.55760734473532,interp,23.0,51.0,202003,202004,6,2,2,2.0,11521.0,11500.0,0.6101190476190477,27.0,empirical,,21.0,21.0,28.0,22.71962364166446
2020-02-25,19.54813409015064,interp,1.0,22.0,202002W4,202003,19.32516650968285,interp,1.0,22.0,202002W4,202003,18.334163753384107,interp,22.0,50.0,202003,202004,6,2,2,1.0,11551.75,11550.0,0.5181650246305419,29.0,empirical,,21.0,21.0,28.0,22.782663662867744
2020-02-26,20.79700559234616,exact,7.0,7.0,202003W1,202003W1,21.44641142170651,interp,7.0,21.0,202003W1,202003,20.10807222174289,interp,21.0,49.0,202003,202004,6,3,2,7.0,11434.5,11400.0,0.6699999999999999,25.0,empirical,202002W4(d0):dte=0 < 1,0.0,14.0,28.0,22.555719586535915
2020-02-27,24.69744192338332,interp,6.0,20.0,202003W1,202003,25.52820242082477,interp,6.0,20.0,202003W1,202003,23.04785557383915,interp,20.0,48.0,202003,202004,6,2,2,6.0,11289.0,11250.0,0.7020502645502645,27.0,empirical,,14.0,14.0,28.0,22.3539915186854
2020-03-02,29.726058694346523,interp,2.0,16.0,202003W1,202003,29.35090228498024,interp,2.0,16.0,202003W1,202003,25.354239744675205,interp,16.0,44.0,202003,202004,6,2,2,2.0,11192.5,11150.0,0.6339987900786449,29.0,empirical,,14.0,14.0,28.0,22.026183408428302
2020-03-03,25.08063171741155,interp,1.0,15.0,202003W1,202003,25.127937603902613,interp,1.0,15.0,202003W1,202003,22.66676591836769,interp,15.0,43.0,202003,202004,6,2,2,1.0,11333.75,11300.0,0.5318979266347688,33.0,empirical,,14.0,14.0,28.0,22.34138351444474
2020-03-04,20.677158924969685,exact,7.0,7.0,202003W2,202003W2,24.609723668142564,exact,14.0,14.0,202003,202003,22.333385106098604,interp,14.0,42.0,202003,202004,6,3,2,7.0,11382.0,11350.0,0.6831578947368421,25.0,empirical,202003W1(d0):dte=0 < 1,0.0,0.0,28.0,22.49267956533263
2020-03-05,17.947650925430253,interp,6.0,13.0,202003W2,202003,20.014605979848,interp,13.0,41.0,202003,202004,19.3743864692435,interp,13.0,41.0,202003,202004,6,2,2,6.0,11507.5,11500.0,0.6943859649122808,25.0,empirical,,7.0,28.0,28.0,22.74483965014577
2020-03-06,24.7108474733196,interp,5.0,12.0,202003W2,202003,24.98545589706794,interp,12.0,40.0,202003,202004,22.962518972661417,interp,12.0,40.0,202003,202004,6,3,3,5.0,11288.0,11250.0,0.5834695567483149,29.0,empirical,,7.0,28.0,28.0,22.27834349324145
